,1,2,3,4,5,6,7,8,9,10,11,12,13
1,0,0,0,365,1024,602,216,227,86,7,4,10,0
2,0,0,0,937,215,567,303,98,94,33,2,1,3
3,0,0,0,647,557,122,302,151,46,41,14,1,1
4,0,0,0,382,384,317,65,149,70,20,17,6,0
5,0,0,0,52,219,193,131,22,41,16,4,3,1
6,0,0,0,97,30,112,83,46,6,11,4,1,1
7,0,0,0,123,53,13,36,19,8,1,1,0,0
8,0,0,0,275,73,30,7,18,9,3,0,0,0
9,0,0,0,1006,165,42,17,4,9,4,2,0,0
10,0,0,0,322,596,93,22,8,2,4,2,1,0
11,0,0,0,456,181,284,35,6,2,0,1,0,0
12,0,0,0,514,260,90,116,11,2,0,0,0,0
13,0,0,0,359,307,150,50,60,6,1,0,0,0
14,0,0,0,845,197,135,47,11,9,1,0,0,0
15,0,0,0,410,472,91,48,12,2,2,0,0,0
16,0,0,0,855,243,266,48,23,5,1,1,0,0
17,0,0,0,649,508,138,141,23,10,2,0,0,0
18,0,0,0,575,377,268,63,55,8,3,1,0,0
19,0,0,0,408,332,196,119,23,17,2,1,0,0
20,0,0,0,418,242,187,102,56,10,7,1,0,0
