,1,2,3,4,5,6,7,8,9,10,11,12,13
1,0,0,0,773,853,594,295,190,79,19,10,3,0
2,0,0,0,814,456,475,301,134,78,30,7,3,1
3,0,0,0,677,484,261,255,150,62,34,12,3,1
4,0,0,0,349,403,277,140,127,69,27,14,5,1
5,0,0,0,120,200,206,118,48,35,16,6,3,1
6,0,0,0,114,69,105,91,43,14,9,4,1,1
7,0,0,0,172,63,33,37,23,8,2,1,0,0
8,0,0,0,439,103,37,18,19,11,4,1,0,0
9,0,0,0,828,264,61,21,10,10,6,2,0,0
10,0,0,0,468,492,151,32,10,5,4,2,1,0
11,0,0,0,484,265,243,59,10,2,1,1,0,0
12,0,0,0,511,278,136,104,20,3,1,0,0,0
13,0,0,0,506,306,162,76,55,10,1,0,0,0
14,0,0,0,738,282,142,56,18,10,1,0,0,0
15,0,0,0,603,416,136,54,16,4,2,0,0,0
16,0,0,0,810,358,237,72,26,7,2,1,0,0
17,0,0,0,728,482,205,127,36,12,3,1,0,0
18,0,0,0,616,425,259,97,51,13,4,1,0,0
19,0,0,0,483,358,225,119,37,17,4,1,0,0
20,0,0,0,454,287,203,119,58,17,7,1,0,0
