,1,2,3,4,5,6,7,8,9,10,11,12,13
1,0,0,0,16,77,113,83,60,33,10,6,2,0
2,0,0,0,28,38,103,108,52,46,17,4,3,1
3,0,0,0,31,68,58,98,63,47,23,10,2,0
4,0,0,0,27,65,80,70,82,40,19,14,3,0
5,0,0,0,11,50,114,96,51,40,26,6,4,2
6,0,0,0,16,24,116,130,70,26,10,7,1,0
7,0,0,0,41,60,61,102,71,40,20,2,3,0
8,0,0,0,73,83,54,53,57,47,13,13,6,1
9,0,0,0,153,127,52,27,15,12,12,2,0,0
10,0,0,0,57,187,87,34,16,9,4,5,1,0
11,0,0,0,61,77,171,74,11,2,1,2,1,0
12,0,0,0,69,84,110,86,41,8,1,0,0,1
13,0,0,0,46,102,105,74,51,22,0,0,0,0
14,0,0,0,117,97,86,66,18,8,8,0,0,0
15,0,0,0,61,152,101,66,16,4,0,0,0,0
16,0,0,0,78,83,124,64,32,12,5,2,0,0
17,0,0,0,56,109,101,91,32,7,4,0,0,0
18,0,0,0,55,96,118,71,31,24,4,1,0,0
19,0,0,0,28,88,117,101,43,14,7,2,0,0
20,0,0,0,38,84,99,96,50,24,4,4,1,0
